x,y,z,ax,ay,az,aw,s,ss
923.052,1128.9,0.0,0.0,0.0,0.015422863108743204,0.9998810605734709,13.575510620238806,0.45244226150968436
923.977,1128.93,0.0,0.0,0.0,0.018044241606733787,0.9998371894187762,14.50099697886324,0.9254863586244338
924.691,1128.96,0.0,0.0,0.0,0.01978454686735823,0.9998042666968636,15.215626953045739,0.7146299741824979
925.176,1128.98,0.0,0.0,0.0,0.018381208784657606,0.9998310513099775,15.701039149019442,0.48541219597370283
926.167,1129.01,0.0,0.0,0.0,0.01880551222382835,0.9998231607189341,16.69249313181439,0.9914539827949502
926.931,1129.04,0.0,0.0,0.0,0.02042992637778481,0.9997912872735981,17.4570819101783,0.7645887783639083
927.71,1129.07,0.0,0.0,0.0,0.020014622958999924,0.99979968737133,18.2366593598265,0.7795774496482005
928.506,1129.11,0.0,0.0,0.0,0.01960690681283193,0.9998077661256852,19.03366375128234,0.7970043914558402
929.046,1129.13,0.0,0.0,0.0,0.018442023199360502,0.9998299314284976,19.574033994726676,0.5403702434443369
930.145,1129.17,0.0,0.0,0.0,0.021595287095834408,0.9997667945952439,20.67376168829443,1.0997276935677527
930.706,1129.19,0.0,0.0,0.0,0.021313045064561446,0.9997728512567622,21.235118081328338,0.5613563930339077
931.274,1129.22,0.0,0.0,0.0,0.02275643076804591,0.9997410388989236,21.8039097830962,0.5687917017678614
932.43,1129.27,0.0,0.0,0.0,0.02473577365966527,0.9996940239400542,22.96099059272009,1.1570808096238905
933.316,1129.32,0.0,0.0,0.0,0.02519055195476772,0.9996826676962116,23.84840030643757,0.8874097137174796
933.615,1129.33,0.0,0.0,0.0,0.025868042408284445,0.9996653662010919,24.147567483781586,0.29916717734401743
934.829,1129.4,0.0,0.0,0.0,0.027734699122667135,0.999615319242645,25.36358393103873,1.216016447257142
935.757,1129.45,0.0,0.0,0.0,0.02882962953297789,0.9995843398438129,26.292929937647674,0.9293460066089435
936.701,1129.51,0.0,0.0,0.0,0.03002405165227708,0.9995491765402947,27.23883479544265,0.9459048577949754
937.66,1129.56,0.0,0.0,0.0,0.0317718619029946,0.9994951469573111,28.199137351931952,0.9603025564893038
937.984,1129.59,0.0,0.0,0.0,0.0323670619310349,0.9994760493888548,28.52452327664297,0.3253859247110163
938.964,1129.65,0.0,0.0,0.0,0.033348192276490815,0.9994437943535845,29.506358293333687,0.9818350166907149
940.293,1129.74,0.0,0.0,0.0,0.03639882795518694,0.9993373431046639,30.838402211528525,1.3320439181948374
941.309,1129.82,0.0,0.0,0.0,0.03738749427253907,0.9993008432259131,31.857546951003695,1.0191447394751703
942.339,1129.9,0.0,0.0,0.0,0.03976199087867389,0.9992091793420256,32.89064907567492,1.0331021246712266
943.034,1129.95,0.0,0.0,0.0,0.04145216856377919,0.9991404894815143,33.58744531561879,0.6967962399438641
943.736,1130.01,0.0,0.0,0.0,0.04310787663897063,0.9990704234295394,34.29200475243018,0.7045594368113955
945.158,1130.14,0.0,0.0,0.0,0.04521034132402465,0.9989774897550822,35.719934722701865,1.427929970271687
945.879,1130.21,0.0,0.0,0.0,0.046806323705462456,0.9989039834044008,36.444324810983034,0.7243900882811666
